Datum,Name, Marke, Einheit (g / Stück),Kalorien,Fett,Kohlenhydrate,Eiweiß
2024-03-08,Sushi Set Groß,Akakiko,1,670.0,9.0,105.0,37.0
2024-03-09,Sushi Set Groß,Akakiko,1,670.0,9.0,105.0,37.0
2024-03-09,Sushi Set Groß,Akakiko,1,670.0,9.0,105.0,37.0
2024-03-10,Sushi Set Mittel,Akakiko,1,550.0,0.0,88.84,30.48
2024-03-10,Sushi Set Mittel,Akakiko,1,550.0,0.0,88.84,30.48
2024-03-10,Sushi Set Klein,Akakiko,1,840.0,0.0,71.45,0.0
2024-03-11,Big Tasty Bacon,McDonald's,1,912.0,57.0,51.0,49.0
2024-03-11,Kartoffeln,Stollenwerk,200,118.0,0.2,24.2,2.2
