Name,Einheit (g / Stück),Kalorien,Fett,Kohlenhydrate,Eiweiß,Marke
Apfelsaft,100.0,44.0,0.0,10.0,0.0,Sachsenobst
Orangensaft,100.0,43.0,0.0,8.8,0.7,Sachsenobst
Tomatensaft,100.0,15.0,0.0,2.5,0.9,Sachsenobst
Grapefruitsaft,100.0,39.0,0.1,8.0,0.6,Sachsenobst
Pesto Chili,100.0,314.0,28.5,11.1,3.2,Saclà
Pesto Arrabbiata,100.0,254.0,22.7,8.1,2.4,Saclà
Peperonata,100.0,137.0,9.5,10.4,1.0,Saclà
Pesto Getrocknete Tomaten Knoblauch,100.0,190.0,16.0,8.0,3.7,Saclà
Pesto mit Bärlauch,100.0,378.0,38.9,4.2,3.0,Saclà
Pesto Rosso Vegan,100.0,354.0,36.0,3.2,2.1,Saclà
Pesto Alla Genovese,100.0,453.0,45.0,4.6,4.9,Saclà
Pomodori Secchi,100.0,208.0,15.8,8.2,3.9,Saclà
Pesto Paprika Auberginen,100.0,251.0,25.0,3.6,1.8,Saclà
Pesto Verde Vegan,100.0,412.0,40.0,10.0,2.7,Saclà
Brause-Stäbchen,5 Stück ,86.0,0.2,20.0,0.1,Sadex
Brausestäbchen,100.0,409.0,1.1,95.4,0.7,Sadex
Brause Pops,100.0,365.0,0.5,87.0,0.2,Sadex
Brause-Stäbchen Minis ,100.0,399.0,1.7,95.0,0.7,Sadex
Chicken Nuggets,100.0,205.0,8.4,21.0,11.0,Sadia
Makrelenfilets,100.0,277.0,21.0,0.5,22.0,Saeby
Original Griechischer Joghurt,100.0,70.0,2.0,3.9,9.0,Safos
Manouri,100.0,380.0,38.0,1.3,8.1,Safos
Veta,100.0,295.0,28.5,10.5,1.8,Safos
Feta,100.0,289.0,24.0,0.2,16.5,Safos
Halloumi,100г,333.0,25.1,2.4,24.4,Safos
Bergfeta,100.0,290.0,24.5,0.7,16.5,Safos
Tzatziki,100.0,75.0,2.0,11.5,2.8,Safos
Vesta,100.0,306.0,28.0,10.0,1.8,Safos
Mojito Alkoholfrei,100.0,33.0,0.1,7.4,0.2,Saftig
Smoothie Apfel Rote Beete Schwarze Johannisbeere,100.0,52.0,0.5,11.6,0.5,Saftig
Smoothie Apfel Grünkohl Limette,100.0,44.0,0.5,9.3,0.6,Saftig
"Smoothie Karotte, Orange, Rote Paprika ",100.0,30.0,0.5,5.6,0.7,Saftig
Smoothie Kiwi Banane Ananas,100.0,54.0,0.1,11.5,0.7,Saftig
Ananas-Mangosaft,100.0,56.0,0.1,13.6,0.3,Saftig
Smoothie Ananas Banane Zitronengras,100.0,68.0,0.1,15.7,0.9,Saftig
Aprikose Kürbis ,100.0,34.0,0.1,7.3,0.5,Saftig
Pinita Colada,100.0,50.0,0.7,10.4,0.3,Saftig
Smoothie Maracuja Lulo ,100.0,60.0,0.1,13.6,0.7,Saftig
Französischer Weichkäse,1 Portion ,113.0,10.0,0.3,5.0,Saint Albray
Saint Albray ,100.0,365.0,33.0,0.5,17.0,Saint Albray
Mild-Würzig & Cremig,1 Scheibe ,55.0,4.5,0.1,3.7,Saint Albray
Leicht,100.0,264.0,20.0,0.5,21.0,Saint Albray
Weichkäse,100.0,365.0,33.0,0.5,17.0,Saint Albray
Weichkäse,1 Portion ,110.0,9.9,0.2,5.1,Saint Albray
Käse,1 Scheibe ,67.0,5.5,0.1,4.4,Saint Albray
Cremig Intense ,100.0,344.0,28.0,0.5,23.0,Saint Albray
L' Intense Besonders Cremig & Würzig,1 Portion ,110.0,9.9,0.2,5.1,Saint Albray
L'intense,100.0,365.0,33.0,0.5,17.0,Saint Albray
Käse,100.0,353.0,29.0,0.5,23.0,Saint Albray
Klosterkäse,1 Scheibe ,67.0,5.5,0.1,4.4,Saint Albray
Legere,100.0,264.0,20.0,0.5,21.0,Saint Albray
Mild-Würzige Scheiben Cremig-Fein,100.0,348.0,28.0,1.0,23.0,Saint Albray
Klosterkäse,100.0,356.0,29.0,0.0,23.0,Saint Albray
Klosterkäse Kräftig-Würzig,1 Scheibe ,67.0,5.3,0.1,4.8,Saint Albray
Klosterkäse Aromatisch-Würzig,100.0,336.0,28.0,0.0,21.0,Saint Albray
Klosterkäse Leicht,100.0,251.0,15.0,0.0,29.0,Saint Albray
Saint-Tropez (Medium Ca. 29 Cm),1 Portion,134.0,62.22,135.4,58.17,Saint Albray
Saint-Tropez (Small Ca. 25 Cm),1 Portion,937.0,43.48,94.38,41.17,Saint Albray
Saint-Tropez (Large Ca. 33 Cm),1 Portion,176.0,81.34,178.8,77.94,Saint Albray
Le Saint Morgon,100.0,287.0,23.0,0.5,20.0,Saint Albray
Petit Saint Paulin,100.0,305.0,25.0,0.1,20.0,Saint Albray
Saint Agur,100.0,361.0,33.0,0.5,16.0,Saint Albray
Saint Félicien,100.0,298.0,27.0,1.7,12.0,Saint Albray
Tavukburger,100.0,197.0,12.4,9.3,11.9,Sakir
Tavuksosis,100.0,212.0,14.0,9.4,13.0,Sakir
Knoblauchcreme,100.0,389.0,37.8,6.4,5.2,Salagusto
Superfood Salad Kichererbsen und Quinoa,100.0,125.0,5.0,12.0,5.0,Salagusto
Kartoffelcreme ,100.0,374.0,37.2,4.5,4.9,Salagusto
Edamame & Kichererbsen Superfood Salad ,100.0,104.0,5.4,6.0,5.0,Salagusto
Feta Light,100.0,161.0,9.0,0.9,19.0,Salakis
Feta,100.0,272.0,23.0,0.8,16.0,Salakis
Schafskäse Light 9%,100.0,161.0,9.0,0.9,19.0,Salakis
Feta Natur,100.0,272.0,23.0,0.8,16.0,Salakis
Salakis Natur,100.0,272.0,22.8,0.8,15.7,Salakis
Salakis Light 9%,100.0,161.0,9.0,0.9,19.0,Salakis
Feta Kräuter,100.0,269.0,23.0,0.8,15.0,Salakis
Schafskäse -25% Salz ,100.0,273.0,23.0,0.8,15.7,Salakis
Back Schafkäse,100.0,284.0,16.0,23.0,12.0,Salakis
Meze,100.0,167.0,12.5,4.4,9.2,Salakis
Griechischer Krautsalat,100.0,107.0,5.0,12.8,1.0,Salatkönig
Salat,100.0,13.0,0.2,1.6,1.0,Salatkönig
Kartoffel-Creme,100.0,246.0,22.3,6.8,4.4,Salatkönig
Tzatziki,100.0,206.0,18.2,5.7,4.4,Salatkönig
Frischer Weißkrautsalat,100.0,107.0,5.0,12.8,1.0,Salatkönig
Gurkensalat,100.0,128.0,10.4,7.5,0.8,Salatkönig
Heringssalat,100.0,275.0,24.5,7.7,4.9,Salatkönig
Fleischsalat ,100.0,279.0,26.1,6.9,3.8,Salatkönig
Sour-Creme ,100.0,166.0,11.7,6.5,7.7,Salatkönig
Farmersalat,100.0,244.0,21.8,9.7,1.1,Salatkönig
Schoko Milch,100.0,53.0,0.3,8.9,3.6,Saliter
Alpen Kaffeesahne,100.0,120.0,10.0,4.3,3.1,Saliter
Magermilchpulver,100.0,356.0,1.0,51.7,35.5,Saliter
Bananenmilch,100.0,50.0,0.1,8.9,3.3,Saliter
Bio Schokomilch,100.0,69.0,1.7,9.8,3.6,Saliter
Erdbeer Milch,100.0,50.0,0.1,8.8,3.3,Saliter
Bio Kaffeemilch,100.0,68.0,4.0,4.6,3.4,Saliter
Vanillemilch,100.0,52.0,0.1,9.4,3.3,Saliter
Bio Kaffeesahne ,100.0,120.0,10.0,4.3,3.1,Saliter
Vanilla Milch,100.0,52.0,0.1,9.4,3.3,Saliter
Salitos,100.0,52.0,0.0,5.0,0.0,Salitos
Ice,100.0,72.0,0.0,10.6,0.1,Salitos
Blue,100.0,72.0,0.0,10.6,0.0,Salitos
Sallos,100.0,413.0,5.9,89.5,0.3,Sallos
X-TREME ,100.0,392.0,0.0,98.0,0.5,Sallos
Sallos X-Plosiv,100.0,389.0,0.0,97.0,0.0,Sallos
Schwarzweich,100.0,345.0,0.2,85.0,0.7,Sallos
Schwarzweich Salted Caramel,100.0,344.0,0.2,85.0,0.7,Sallos
Weichlakritz,100.0,342.0,0.2,81.0,4.0,Sallos
Salmiak Pastillen ,100.0,341.0,3.9,70.0,5.8,Sallos
Kaubonbons ,100.0,340.0,0.2,82.0,0.7,Sallos
Black&White,100.0,332.0,0.0,83.0,0.0,Sallos
Sallos X-Tra Cool,100.0,410.0,5.3,90.3,0.2,Sallos
Sallos X-Treme,100.0,377.0,0.0,93.9,0.3,Sallos
Sallos X-Presso,100.0,410.0,5.3,90.0,0.3,Sallos
Sallos Salmiak Pastillen ,100.0,341.0,3.9,70.0,5.8,Sallos
Sallos X-Plosiv,100.0,389.0,0.0,97.0,0.0,Sallos
Sallos Original,100.0,404.0,4.1,92.0,0.5,Sallos
Sallos Weichlakritz ,100.0,342.0,0.2,81.0,4.0,Sallos
Salmiakpastillen Zuckerfrei,100.0,272.0,0.8,65.0,7.9,Salmix
Salmiakpastillen N,100.0,314.0,1.05,64.68,7.43,Salmix
Salmix Knusper Dragees,100.0,370.0,0.3,89.2,2.0,Salmix
Crunchy Chik'n Burger,100.0,215.0,10.0,18.0,13.0,Salomon
Hamburger,100.0,268.0,21.0,0.8,19.0,Salomon
Chili & Cheese Nuggets,100.0,242.0,13.0,24.0,7.2,Salomon
Tortilla Flammkuchen,100.0,222.0,8.7,29.0,7.0,Salomon
Peppers Red & Hot,100.0,247.0,13.0,29.0,3.4,Salomon
Grillgemüse,100.0,27.0,0.3,3.7,1.4,Salomon
Floradix Kräuterblut,100.0,92.0,0.0,22.9,0.0,Salus
Mariendistel,100.0,197.0,0.5,46.0,2.3,Salus
Bio Flohsamenschalen Indisch ,100.0,177.0,0.6,1.7,2.4,Salus
Linomel,100.0,480.0,30.0,21.0,20.0,Salus
Holländisches Lakritz Salmiak,100.0,327.0,0.2,78.2,2.9,Salvita
Eukalyptus Menthol ,2 Stück ,38.0,0.1,9.5,0.1,Salvita
Eukalyptus Menthol ,100.0,382.0,0.1,95.0,0.1,Salvita
Wildkirsche Zuckerfrei,100.0,230.0,0.1,94.0,0.0,Salvita
Holländisches Lakritz mit Fruchtgummi,100.0,340.0,0.2,81.7,2.7,Salvita
Sport,100.0,19.0,0.0,4.3,0.0,Salvus
Ace,100.0,28.0,0.1,6.5,0.1,Salvus
Mineralwasser ,100.0,0.0,0.0,0.0,0.0,Salvus
Apfel-Schorle,100.0,27.0,0.0,6.3,0.0,Salvus
Orangen Limonade,100.0,36.0,0.0,8.8,0.0,Salvus
Lemon,100.0,1.0,0.0,0.1,0.0,Salvus
Cola,100.0,44.0,0.0,11.0,0.0,Salvus
Kikuba ,100.0,43.0,0.1,10.6,0.1,Salvus
Kohlwurst,100.0,338.0,29.4,1.3,14.5,Salzbrenner
Krakauer ,100.0,325.0,29.3,0.5,12.0,Salzbrenner
Würstchen,100.0,311.0,28.1,1.2,12.0,Salzbrenner
Mini Dom Würstchen,100.0,311.0,28.1,1.2,12.0,Salzbrenner
Schinkenwurst ,100.0,325.0,29.3,11.1,12.0,Salzbrenner
Grillbratwurst,100.0,319.0,28.5,2.0,12.5,Salzbrenner
Käse-Krakauer,100.0,327.0,29.3,0.5,13.2,Salzbrenner
Geflügel Wiener,100.0,299.0,26.0,0.8,12.0,Salzbrenner
Currybratwurst,100.0,294.0,26.1,0.4,12.5,Salzbrenner
Geräucherte Currywurst ,100.0,324.0,30.0,0.5,12.0,Salzbrenner
Bärlauchkäse,100.0,333.0,26.0,0.5,24.0,Salzburg Milch
Premium Original Bergkäse ,100.0,418.0,34.0,0.0,28.0,Salzburg Milch
Premium Heujuwel,100.0,418.0,34.0,0.0,28.0,Salzburg Milch
Premium Original Almkönig,100.0,333.0,26.0,0.0,24.0,Salzburg Milch
Bio Gouda,100.0,357.0,29.0,0.0,24.0,Salzburg Milch
Premium Gouda,100.0,324.0,25.0,0.0,24.0,Salzburg Milch
Premium Emmentaler,100.0,395.0,31.0,0.0,29.0,Salzburg Milch
3K Eiweiß Shake Vanille-Sahne mit Milch,"1 Portion + 300ml Milch 1,5% ",252.0,5.7,15.3,35.0,Salzburg Milch
"Bio-Jogurt Mild aus Entrahmter Milch 0,1%",100.0,46.0,0.1,5.6,5.5,Salzburg Milch
Eat-For-Fit-Protein-Shake mit Milch,1 Portion,227.0,5.0,13.0,32.0,Salzburg Milch
Bio-Jogurt Mild aus Entrahmter Milch,100.0,42.0,0.1,5.4,4.9,Salzburg Milch
"Frische Fettarme Bio-Milch 1,5% Fett",100.0,48.0,1.5,5.0,3.5,Salzburg Milch
Bio Doppelkeks mit Milch-Honig-Creme,100.0,486.0,22.0,62.0,7.3,Salzburg Milch
Gourmet Haselnuss-Milch Creme mit Kakao,100.0,550.0,35.0,49.0,8.0,Salzburg Milch
Gefüllte Hörnchen mit Milch- und Karamellcreme,1 Hörnchen ,226.0,12.0,25.0,3.1,Salzburg Milch
Milch Reis High Protein Schoko Banane,1 Portion ,167.0,4.1,18.0,14.0,Salzburg Milch
Frucht Butter Milch Zitrone Apfel Ingwer ,100.0,80.0,0.5,10.7,2.7,Salzburg Milch
Kartoffel Püree mit Entrahmter Milch Komplett ,1 Portion ,140.0,3.0,22.0,4.0,Salzburg Milch
Milch & Cerealien Riegel in Weißer Schokolade ,100.0,561.0,34.5,54.9,7.3,Salzburg Milch
Kartoffel Püree mit Entrahmter Milch Komplett,100.0,70.0,1.5,11.0,2.0,Salzburg Milch
Milch-Mousse Edelschoko auf Schoko-Sosse,100.0,201.0,9.4,25.0,4.0,Salzburg Milch
Free From Laktose Haltbare Fettarme Milch,100.0,47.0,1.5,5.0,3.4,Salzburg Milch
"H-Milch - Fettarme 1,5% Fett",100.0,46.0,1.5,4.8,3.4,Salzburg Milch
"Entrahmte H-Milch 0,3% Fett",100.0,38.0,0.3,5.1,3.6,Salzburg Milch
"Haltbare Fettarme Milch 1,8% Fett",100.0,50.0,1.9,4.8,3.4,Salzburg Milch
"Haltbare Fettarme Milch 1,5% Laktosefrei",100.0,48.0,1.5,5.0,3.5,Salzburg Milch
"Haltbare Entrahmte Milch 0,1% Fett",100.0,35.0,0.1,5.0,3.4,Salzburg Milch
Joghurt Mild aus Entrahmter Milch,100.0,40.0,0.1,5.1,4.1,Salzburg Milch
"Laktosefreie H-Milch 1,5% Fett",100.0,47.0,1.5,5.0,3.4,Salzburg Milch
"Frische Fettarme Milch 1,5% Fett",100.0,47.0,1.5,4.7,3.6,Salzburg Milch
"Entrahmte H-Milch 0,3% Fett",100.0,38.0,0.3,5.1,3.6,Salzburg Milch
Milch Jumbo Nuss-Nugat-Creme,1 Riegel ,119.0,7.5,10.6,2.1,Salzburg Milch
"Fettarme H-Milch 1,5% Fett",100.0,47.0,1.5,4.9,3.4,Salzburg Milch
Frucht Butter Milch Pfirsich Nektarine,100.0,60.0,0.5,10.5,2.7,Salzburg Milch
"Bio Frische Weide Milch 1,5%",100.0,47.0,1.5,5.0,3.4,Salzburg Milch
Battle Whey Milch mit Honig,100.0,389.0,6.4,8.4,73.2,Salzburg Milch
Milch Reis Leicht & Lecker Schoko,100.0,71.0,2.1,10.1,2.8,Salzburg Milch
Schoko Drink aus Fettarmer Milch,100.0,64.0,1.8,8.0,3.7,Salzburg Milch
Milch Reis High Protein Vanille,1 Becher ,164.0,4.0,18.0,14.0,Salzburg Milch
Excellence 45% Cacao Milch Chocolade,100.0,572.0,40.0,41.0,9.1,Salzburg Milch
Excellence 65% Cacao Milch Chocolade,100.0,635.0,54.0,24.0,8.9,Salzburg Milch
Milch-Haselnuss 50% Weniger Zucker ,100.0,507.0,32.0,40.0,6.9,Salzburg Milch
Snack Minis Milch Schoko Schnitten,100.0,508.0,27.0,57.0,7.7,Salzburg Milch
"Entrahmte H-Milch 0,1% Fett",100.0,34.0,0.1,4.8,3.4,Salzburg Milch
"Laktosefreie H-Milch 0,3% Fett",100.0,38.0,0.3,5.0,3.6,Salzburg Milch
"H-Fettarme Milch 1,5% Fett",100.0,47.0,1.5,4.9,3.4,Salzburg Milch
Milch Pudding Schokolade mit Keksballs,100.0,149.0,5.5,21.0,3.8,Salzburg Milch
"H-Milch Fettarm 1,5% Fett",100.0,47.0,1.5,5.0,3.4,Salzburg Milch
"Frische Fettarme Milch 1,5% Fett",100.0,47.0,1.5,4.9,3.4,Salzburg Milch
Schoko Drink aus Fettarmer Milch,100.0,62.0,1.4,9.0,3.1,Salzburg Milch
Kräuter Leicht mit Allgäuer Milch,100.0,159.0,9.0,5.5,14.0,Salzburg Milch
"Glas Hemme Milch - 0,2 L",100.0,66.0,3.8,4.8,3.2,Salzburg Milch
"Fettarme H-Milch 1,5% Fett",100.0,47.0,1.5,4.9,3.4,Salzburg Milch
"Fettarme H-Milch 1,5% Laktosefrei",100.0,48.0,1.5,5.0,3.5,Salzburg Milch
Les Grandes 34% Haselnüsse Milch,100.0,593.0,43.0,41.0,8.7,Salzburg Milch
"Fettarme H-Milch 1,5% Fett",100.0,46.0,1.5,4.8,3.4,Salzburg Milch
"Fettarme H-Milch Laktosefrei 1,5%",100.0,47.0,1.5,5.0,3.4,Salzburg Milch
Magermilch Joghurt aus Entrahmter Milch,1 Becher  ,59.0,0.2,8.4,5.3,Salzburg Milch
"Haltbare Entrahmte Milch 0,1% Fett",100.0,35.0,0.1,5.0,3.4,Salzburg Milch
"Entrahmte H-Milch 0,3% Fett",100.0,38.0,0.3,5.1,3.6,Salzburg Milch
Schokocreme Milch & Nuss-Nougat,100.0,572.0,37.0,55.0,4.8,Salzburg Milch
"Fettarme H-Milch 1,5%",100.0,48.0,1.5,5.0,3.5,Salzburg Milch
Battle Whey Erdbeer-Milch,100.0,389.0,6.6,7.8,74.9,Salzburg Milch
"Milch Haltbar 3,8% Fett",100.0,64.0,3.5,4.8,3.3,Salzburg Milch
"Schoko Milch Riegel (18,2g)",1 Riegel ,105.0,6.9,9.1,1.4,Salzburg Milch
"Frische Milch 1,5% Fett",100.0,47.0,1.5,4.9,3.4,Salzburg Milch
Frische Fettarme Bio-Milch,100.0,47.0,1.5,4.9,3.4,Salzburg Milch
"H-Milch 3,5% Fett",100.0,64.0,3.5,4.8,3.3,Salzburg Milch
"Frische Fettarme Milch 1,5%",1 Glas ,116.0,3.8,12.0,8.5,Salzburg Milch
Die Alpenfrische Vanille-Milch,100.0,63.0,1.8,8.2,3.4,Salzburg Milch
"H-Milch 3,5% Fett",100.0,65.0,3.6,4.9,3.3,Salzburg Milch
"Frische Fettarme Milch 1,5%",100.0,46.0,1.5,4.8,3.4,Salzburg Milch
Korn-Fit Milch Sultanine,4 Kekse ,142.0,6.3,17.8,2.6,Salzburg Milch
"Die Haltbare Milch 1,5%",100.0,47.0,1.5,4.9,3.4,Salzburg Milch
Milch und Honig Zwieback,100.0,383.0,4.6,72.5,11.0,Salzburg Milch
Mandel Milch Ohne Zucker,100.0,13.0,1.1,0.0,0.5,Salzburg Milch
Milch Classic Der Große,1 Riegel ,180.0,7.6,24.2,2.3,Salzburg Milch
Cremige Kaffee-Milch 12%,100.0,162.0,12.0,7.6,5.8,Salzburg Milch
"die Frische Milch 1,8%",100.0,49.0,1.8,4.9,3.4,Salzburg Milch
Milch Reis Zero Schoko,1 Becher  ,142.0,4.2,20.2,5.6,Salzburg Milch
Milch Chocolade 45% Cacao,100.0,572.0,40.0,41.0,9.1,Salzburg Milch
Kokos Kaffeegetränk mit Milch,100.0,82.0,3.3,9.9,3.2,Salzburg Milch
Latte Macchiato mit Milch,1 Portion,104.0,3.3,10.8,7.5,Salzburg Milch
Caffè Latte mit Milch,1 Portion,66.0,2.1,6.9,4.8,Salzburg Milch
Chai Latte mit Milch,1 Portion,239.0,6.0,31.2,13.9,Salzburg Milch
"Frische Fettarme Milch 1,5%",100.0,47.0,1.5,4.9,3.4,Salzburg Milch
"Fettarme H-Milch 1,5%",100.0,47.0,1.5,4.9,3.4,Salzburg Milch
Pick Up! Choco & Milch,1 Riegel  ,145.0,7.4,17.0,1.9,Salzburg Milch
"Haltbare Fettarme Milch 1,5%",100.0,46.0,1.5,4.8,3.2,Salzburg Milch
"H-Milch 1,5% Fett",100.0,47.0,1.5,4.9,3.5,Salzburg Milch
Alpenzwerg Bio Schoko-Milch,100.0,73.0,1.7,10.9,3.3,Salzburg Milch
Schoko & Keks mit Milch,1 Riegel ,176.0,9.9,19.5,2.0,Salzburg Milch
Frische Fettarme Land Milch,100.0,47.0,1.5,4.9,3.3,Salzburg Milch
"Haltbare Milch 1,5% Fett",100.0,48.0,1.5,5.0,3.5,Salzburg Milch
"Fettarme H-Milch 1,5%",100.0,47.0,1.5,4.9,3.5,Salzburg Milch
"Frische Alpen Milch 1,5%",100.0,47.0,1.5,4.9,3.5,Salzburg Milch
Mousse Au Chocolat Milch,100.0,579.0,39.0,49.0,6.7,Salzburg Milch
"Milch Haltbar 0,3% Fett",100.0,35.0,0.1,5.0,3.4,Salzburg Milch
"Haltbare Milch  3,5% Fett",100.0,64.0,3.5,4.7,3.5,Salzburg Milch
Haltbare Bergbauern Milch Fettarm,100.0,48.0,1.6,5.1,3.4,Salzburg Milch
Milch Laktosefrei (100 Ml),100.0,47.0,1.5,4.9,3.4,Salzburg Milch
Für Dich Milch Spaß ,100.0,336.0,0.4,81.0,0.4,Salzburg Milch
Milch Reis Choco Brownie,100.0,109.0,2.1,19.3,3.0,Salzburg Milch
"Frische Fettarme Milch 1,5%",100.0,47.0,1.5,4.9,3.4,Salzburg Milch
Battle Whey Milch Kakao,100.0,388.0,6.7,7.4,75.3,Salzburg Milch
Gourmet Haselnuss-Milch Creme,100.0,552.0,33.0,54.0,8.0,Salzburg Milch
Eggs Milch und Kakao,100.0,573.0,36.5,53.1,7.2,Salzburg Milch
Meine Auszeit Vollmilchpudding Milch ,100.0,95.0,3.4,13.0,3.0,Salzburg Milch
Milch Snack Schoko-Nuss,100.0,452.0,28.0,44.0,5.8,Salzburg Milch
Pick Up Choco & Milch,1 Stück ,145.0,7.4,17.0,1.9,Salzburg Milch
Frische Fettarme Milch,100.0,46.0,1.5,4.9,3.4,Salzburg Milch
"H-Milch 0,3%",100.0,38.0,0.3,5.1,3.6,Salzburg Milch
Milch Drink Schoko,100.0,74.0,1.8,11.0,3.8,Salzburg Milch
Müllermilch Milch Schokolade,100.0,97.0,3.4,13.2,3.3,Salzburg Milch
Frische Fettarme Milch,100.0,48.0,1.5,5.0,3.5,Salzburg Milch
Schoko Milch Minis,1 Portion ,194.0,9.8,23.6,2.6,Salzburg Milch
Fettarme H-Milch,100.0,46.0,1.5,4.8,3.3,Salzburg Milch
Haltbare Fettarme Milch,100.0,47.0,1.5,4.9,3.4,Salzburg Milch
Milch & Schoko Keks,1 Stück ,175.0,9.8,19.4,2.1,Salzburg Milch
Frische Bananen Milch,100.0,69.0,1.4,10.8,3.2,Salzburg Milch
Frische Fettarme Milch,100.0,47.0,1.5,4.9,3.3,Salzburg Milch
Milch Snack Honig,1 Riegel ,124.0,7.6,12.4,1.3,Salzburg Milch
Erdbeer Milch Drink ,100.0,67.0,1.9,9.2,3.3,Salzburg Milch
Frische Vanille Milch,100 ml,48.0,0.1,8.4,3.3,Salzburg Milch
"Haltbare Milch 0,9%",100.0,48.0,0.9,4.9,5.1,Salzburg Milch
Milch-Dessert Erdbeere,100.0,90.0,2.9,13.3,2.5,Salzburg Milch
Milch & Haselnuss Dessert,100.0,107.0,4.0,14.4,3.0,Salzburg Milch
Haltbare Fettarme Milch,100.0,46.0,1.5,4.8,3.3,Salzburg Milch
Milch & Joghurt Knäckebrot,1 Scheibe  ,32.0,0.2,5.7,0.9,Salzburg Milch
Milch Dunkle Schoko,1 Portion ,172.0,5.0,21.0,9.7,Salzburg Milch
Schoko Milch Riegel,100.0,577.0,38.4,49.6,7.9,Salzburg Milch
Milch Riegel Knusper,1 Riegel ,127.0,8.3,11.1,1.9,Salzburg Milch
Schoko Milch Riegel ,1 Riegel  ,102.0,6.4,9.6,1.2,Salzburg Milch
Fettarme H-Milch,100.0,47.0,1.5,4.9,3.4,Salzburg Milch
"Laktosefreie Milch 1,5%",100.0,46.0,1.5,4.7,3.3,Salzburg Milch
Milch Shake Schoko,100.0,112.0,5.5,12.0,3.5,Salzburg Milch
"Milch + Schokolade (18,2g)",1 Riegel ,102.0,6.4,9.5,1.5,Salzburg Milch
Milch Schoko Duo,1 Portion ,142.0,9.0,14.5,0.8,Salzburg Milch
Frische Fettarme Milch ,100.0,47.0,1.5,4.8,3.5,Salzburg Milch
Lindor Milch Kugeln,100.0,617.0,47.0,43.0,4.6,Salzburg Milch
Schoko & Keks Milch,1 Stück ,475.0,18.0,70.0,6.9,Salzburg Milch
Milch Dark & White,1 Riegel ,141.0,6.4,18.3,2.0,Salzburg Milch
Frische Fettarme Milch,100.0,47.0,1.5,4.9,3.4,Salzburg Milch
Haltbare Milch Fettarm,100.0,47.0,1.5,4.9,3.5,Salzburg Milch
Milch Haselnuss Schnitte ,1 Stück  ,135.0,8.3,12.8,1.8,Salzburg Milch
Schoko Milch Riegel ,100.0,568.0,36.5,52.2,7.3,Salzburg Milch
Frühstückskeks Milch & Cerealien,100.0,450.0,15.0,68.0,8.5,Salzburg Milch
"H-Milch 1,5%",100.0,47.0,1.5,4.9,3.4,Salzburg Milch
Schoko Milch Drink,100.0,71.0,1.6,10.7,3.3,Salzburg Milch
Milch-Haselnuss-Schnitte,1 Waffel ,137.0,8.5,12.9,1.8,Salzburg Milch
"Frühstücks Milch 0,7%",100.0,44.0,0.7,5.2,4.1,Salzburg Milch
Milch Snack Kakao,1 Riegel ,147.0,8.4,16.0,1.6,Salzburg Milch
Milch Drink Schokolade ,100.0,67.0,1.8,8.7,3.7,Salzburg Milch
Milch Drink Vanille,100.0,69.0,1.9,9.6,3.3,Salzburg Milch
H-Fettarme Milch,100.0,46.0,1.5,4.8,3.4,Salzburg Milch
Frische Fettarme Milch,100.0,47.0,1.5,4.9,3.3,Salzburg Milch
Milch Drink Banane,100.0,76.0,1.4,12.5,3.3,Salzburg Milch
Milch Drink Erdbeere,100.0,67.0,1.9,9.2,3.3,Salzburg Milch
Fettarme H-Milch,100.0,48.0,1.5,5.0,3.5,Salzburg Milch
Milch Drink Erdbeer,100.0,71.0,1.4,11.2,3.4,Salzburg Milch
Milch Stick Vanille,1 Eis ,31.0,0.8,4.9,0.9,Salzburg Milch
Milch Stick Erdbeere,1 Eis ,31.0,0.8,5.1,0.9,Salzburg Milch
Milch Drink Bananengeschmack ,100.0,67.0,1.4,10.5,3.2,Salzburg Milch
Schoko Milch Minis,1 Pack ,188.0,9.0,23.6,2.6,Salzburg Milch
Butter Milch Erdbeere,100.0,60.0,0.5,10.9,2.5,Salzburg Milch
Schokoriegel Milch & Schokolade,1 Riegel ,109.0,7.8,8.6,1.2,Salzburg Milch
Frische Bananen Milch ,100.0,53.0,0.1,9.7,3.3,Salzburg Milch
Milch-Eis Karamell,1 Eis ,182.0,11.0,18.0,2.3,Salzburg Milch
Entrahmte H-Milch,100.0,37.0,0.5,4.8,3.4,Salzburg Milch
Milch Brötle Schoko,100.0,357.0,11.0,55.0,8.8,Salzburg Milch
Milch Reis Klassik ,100.0,101.0,2.6,15.8,3.5,Salzburg Milch
Kokosnuss-Milch Fettreduziert ,100.0,134.0,13.0,2.7,0.92,Salzburg Milch
Nuxor Gianduja Milch,100.0,610.0,44.0,40.0,9.0,Salzburg Milch
Vitaminis Milch+Vitamine,100.0,346.0,0.2,83.0,2.2,Salzburg Milch
Protein Milch Drink,100.0,58.0,0.5,4.9,8.2,Salzburg Milch
High Protein Milch ,100.0,39.0,0.1,2.5,7.0,Salzburg Milch
Milch Schokoladen Bonbons,100.0,593.0,40.0,50.0,6.9,Salzburg Milch
"0,3% H-Milch",100.0,38.0,0.3,5.1,3.6,Salzburg Milch
Milch-Haselnuss-Creme,100.0,507.0,32.0,40.0,6.9,Salzburg Milch
Heiße Milch Klein,1 Portion,137.0,7.5,10.1,7.0,Salzburg Milch
